episode_id,blue_cube_count,target_index,successful,x_m,y_m,z_m,position_stratum,tray_x_m,tray_y_m
episode_000138,3,2,True,0.5864763040200769,-0.16523145830102365,0.026,19,0.51,0.1358334338715622
episode_000139,2,0,True,0.397977236883382,0.19218141789912618,0.026,4,0.51,-0.16148172770723804
episode_000139,2,1,True,0.5215847797262064,0.2887965692545366,0.026,17,0.51,-0.16148172770723804
episode_000140,1,0,True,0.6364758665610944,-0.011512799498404419,0.026,20,0.51,0.2338017318819175
episode_000141,3,0,True,0.40864294016662933,-0.01621951270306478,0.026,2,0.51,-0.20386991850249042
episode_000141,3,1,True,0.5222518589999323,0.12543742425470347,0.026,16,0.51,-0.20386991850249042
episode_000141,3,2,True,0.6061446110861869,0.242865779431348,0.026,23,0.51,-0.20386991850249042
episode_000142,1,0,True,0.5894263093073131,-0.2635918399858695,0.026,18,0.51,0.1358334338715622
episode_000143,2,0,False,0.3965935839383895,0.19179914213830757,0.026,4,0.51,-0.16148172770723804
episode_000143,2,1,False,0.5878670679544585,0.017568649903397047,0.026,15,0.51,-0.16148172770723804
episode_000144,2,0,True,0.3958433223464146,0.022991429387056738,0.026,3,0.51,0.2338017318819175
episode_000144,2,1,True,0.5324130096241906,-0.20096879771571352,0.026,12,0.51,0.2338017318819175
episode_000145,2,0,True,0.6341165252707696,0.20887397766973892,0.026,23,0.51,-0.20386991850249042
episode_000145,2,1,True,0.5112889975039615,-0.021205965585016445,0.026,8,0.51,-0.20386991850249042
episode_000146,3,0,True,0.44176391715229457,-0.07168846749010366,0.026,2,0.51,0.1358334338715622
episode_000146,3,1,True,0.5777214382549116,-0.16298346990003118,0.026,13,0.51,0.1358334338715622
episode_000146,3,2,True,0.4223284942516114,-0.19436727607464532,0.026,1,0.51,0.1358334338715622
episode_000147,2,0,True,0.6452858952119265,0.011914685866217363,0.026,21,0.51,-0.16148172770723804
episode_000147,2,1,True,0.4450336527241753,0.165359833159251,0.026,10,0.51,-0.16148172770723804
episode_000148,3,0,True,0.43238879428817073,0.009814804072178754,0.026,3,0.51,0.2338017318819175
episode_000148,3,1,True,0.5610647050782915,-0.13596470526112098,0.026,13,0.51,0.2338017318819175
episode_000148,3,2,True,0.617999783976827,-0.2677500249276794,0.026,18,0.51,0.2338017318819175
episode_000149,1,0,True,0.6396450374468661,0.029587884607654866,0.026,21,0.51,-0.20386991850249042
episode_000150,3,0,True,0.39419028813243623,-0.14298927907251918,0.026,1,0.51,0.1358334338715622
episode_000150,3,1,True,0.5270532538804461,-0.12863687214131692,0.026,13,0.51,0.1358334338715622
episode_000150,3,2,True,0.6496909445540278,-0.05362545180808048,0.026,20,0.51,0.1358334338715622
episode_000151,3,0,False,0.5578831561528993,-0.15457859405846683,0.026,13,0.51,0.2499630901133501
episode_000151,3,1,False,0.6190404719556379,-0.2781453774203647,0.026,18,0.51,0.2499630901133501
episode_000151,3,2,False,0.4932641825536384,0.07020960842759884,0.026,9,0.51,0.2499630901133501
episode_000152,3,0,False,0.5781894868896151,-0.13381508123656452,0.026,13,0.51,0.22655931169248303
episode_000152,3,1,False,0.6035195071602454,-0.007792559783589614,0.026,20,0.51,0.22655931169248303
episode_000152,3,2,False,0.46931613295161634,0.014334818892262053,0.026,9,0.51,0.22655931169248303
episode_000153,3,0,True,0.5239501589485261,0.11093802627495362,0.026,16,0.51,-0.1451648446855659
episode_000153,3,1,True,0.6535602989760075,0.1079448454924383,0.026,22,0.51,-0.1451648446855659
episode_000153,3,2,True,0.5003540308789772,0.23269004384968814,0.026,11,0.51,-0.1451648446855659
episode_000154,3,0,True,0.5206458243958548,-0.05502074197406952,0.026,14,0.51,0.17050280804061263
episode_000154,3,1,True,0.37006879269416504,0.0009358916707050414,0.026,3,0.51,0.17050280804061263
episode_000154,3,2,True,0.4579779150211497,-0.19052656195896012,0.026,7,0.51,0.17050280804061263
episode_000155,2,0,True,0.6007165041211495,-0.2075902360046986,0.026,18,0.51,0.2499630901133501
episode_000155,2,1,True,0.5128721921934987,0.038153395474276555,0.026,9,0.51,0.2499630901133501
episode_000156,3,0,True,0.5567628508013448,0.009436759050413012,0.026,15,0.51,0.22655931169248303
episode_000156,3,1,True,0.6123014024767676,-0.1368640140463636,0.026,19,0.51,0.22655931169248303
episode_000156,3,2,True,0.4604870731749314,-0.26072554574577983,0.026,6,0.51,0.22655931169248303
episode_000157,2,0,False,0.6269898530323719,0.17441678595085996,0.026,22,0.51,-0.1451648446855659
episode_000157,2,1,False,0.4525111844101713,0.26868996072909657,0.026,11,0.51,-0.1451648446855659
episode_000158,2,0,True,0.6360836437016298,-0.07554384435264529,0.026,20,0.51,0.17050280804061263
episode_000158,2,1,True,0.47780353951878535,-0.2780672867504854,0.026,6,0.51,0.17050280804061263
episode_000159,1,0,True,0.6019763396942597,-0.2173468038358138,0.026,18,0.51,0.2499630901133501
episode_000160,2,0,True,0.5943080694430019,0.045192335270326144,0.026,21,0.51,0.22655931169248303
episode_000160,2,1,True,0.5022524903741745,-0.25142519282483944,0.026,6,0.51,0.22655931169248303
episode_000161,2,0,True,0.5394218397472418,0.27752629469902895,0.026,17,0.51,-0.1451648446855659
episode_000161,2,1,True,0.4377124183758807,0.10626469957324253,0.026,4,0.51,-0.1451648446855659
episode_000162,2,0,True,0.4871096862050709,8.578364258758433e-05,0.026,9,0.51,0.17050280804061263
episode_000162,2,1,True,0.6356336993783931,-0.08306818197979667,0.026,20,0.51,0.17050280804061263
