episode_id,blue_cube_count,progress_stage,num_remaining,target_index,successful,x_m,y_m,z_m,position_stratum,tray_x_m,tray_y_m
episode_000117,1,0,1,0,True,0.5239212580639604,0.26803855394934545,0.026,17,0.51,-0.16525924989546875
episode_000118,2,0,2,0,True,0.6474117688779623,-0.01386279356803971,0.026,20,0.51,0.21146746279684422
episode_000118,2,0,2,1,True,0.3718010177556873,-0.2987384003273393,0.026,0,0.51,0.21146746279684422
episode_000120,2,1,1,0,True,0.6094898141479431,0.01650326501238151,0.026,21,0.51,0.199856978609068
episode_000121,1,0,1,0,True,0.5373441786973785,0.22455774547238064,0.026,17,0.51,-0.16525924989546875
episode_000122,1,0,1,0,True,0.5579941198900177,-0.29468681250501355,0.026,12,0.51,0.21146746279684422
episode_000124,2,0,2,0,True,0.632589377976675,-0.22438448682128784,0.026,18,0.51,0.199856978609068
episode_000124,2,0,2,1,True,0.4223215847257288,-0.16284082848455922,0.026,1,0.51,0.199856978609068
episode_000125,2,0,2,0,True,0.45025548647424235,0.14971541925715584,0.026,10,0.51,-0.16525924989546875
episode_000125,2,0,2,1,True,0.5819745415691695,0.07364171189292604,0.026,15,0.51,-0.16525924989546875
episode_000126,1,0,1,0,True,0.578423486473095,0.02309406562449132,0.026,15,0.51,0.21146746279684422
episode_000127,1,0,1,0,True,0.4968698195286909,0.1483773926021355,0.026,10,0.51,-0.1830017277641439
episode_000129,2,0,2,0,True,0.4734670834628084,0.13326368767087596,0.026,10,0.51,-0.16525924989546875
episode_000129,2,0,2,1,True,0.5821163407880927,0.009868542416750106,0.026,15,0.51,-0.16525924989546875
episode_000131,2,0,2,0,True,0.49377210862528964,-0.001982875906071657,0.026,8,0.51,-0.1830017277641439
episode_000131,2,0,2,1,True,0.5293364769379532,0.27668238602721407,0.026,17,0.51,-0.1830017277641439
episode_000133,1,0,1,0,True,0.4516907153913911,0.1690994134915671,0.026,10,0.51,-0.16525924989546875
episode_000135,2,0,2,0,True,0.4543465982047985,-0.00558137328786612,0.026,8,0.51,-0.1830017277641439
episode_000135,2,0,2,1,True,0.5410160996583571,0.19998012867226211,0.026,16,0.51,-0.1830017277641439
episode_000136,1,0,1,0,True,0.4718979541703752,-0.05119397645743309,0.026,8,0.51,0.199856978609068
episode_000137,2,1,1,1,True,0.5317502546221667,0.1414197507758014,0.026,16,0.51,-0.16525924989546875
