episode_id,blue_cube_count,red_cube_count,successful,completed,failed,scenario_mode,seed,progress_stage,num_blue_total,num_preplaced,num_remaining,preplaced_blue_cube_names,start_position_stratum,start_ee_position_fallback,start_ee_position_fallback_shift_m,start_ee_reached,start_ee_yaw_requested_deg,start_ee_yaw_offset_deg,start_ee_yaw_fallback_scale,start_ee_yaw_error_deg,start_ee_orientation_reached,trajectory_modes,recovery_planned,recovery_augmented,recovery_completed,solver_recovery_attempts,solver_recovery_total_attempts,failure_reason,failed_state,slot_index,frames,duration_s,path_length_m,displacement_m,x_min_m,x_max_m,x_span_m,y_min_m,y_max_m,y_span_m,z_min_m,z_max_m,z_span_m
episode_000296,2,2,True,True,False,blue_tray,91302,0,2,0,2,,51,False,0.0,True,,,,0.1718,True,direct;direct,False,False,False,0,1,,,2,857,57.06666666666666,2.7779463582823447,0.45457807689838164,0.4445383548736572,0.6381959915161133,0.19365763664245605,-0.17025017738342285,0.26323533058166504,0.4334855079650879,0.03305147588253021,0.38488292694091797,0.35183145105838776
episode_000297,2,2,True,True,False,blue_tray,91303,0,2,0,2,,47,False,0.0,True,,,,0.0543,True,direct;direct,False,False,False,0,0,,,2,489,32.53333333333333,2.0109924398311865,0.4302341124434496,0.4519188404083252,0.6104283332824707,0.1585094928741455,-0.03610110282897949,0.26091766357421875,0.29701876640319824,0.032759539783000946,0.5422214269638062,0.5094618871808052
episode_000298,1,2,True,True,False,blue_tray,91304,0,1,0,1,,60,False,0.0,True,,,,0.0892,True,direct,False,False,False,0,0,,,1,237,15.733333333333333,0.8090871843692428,0.23301437075368492,0.4343792200088501,0.6742986440658569,0.23991942405700684,-0.16867375373840332,0.005214214324951172,0.1738879680633545,0.03327794373035431,0.26755356788635254,0.23427562415599823
episode_000299,1,2,True,True,False,blue_tray,91305,0,1,0,1,,37,False,0.0,True,,,,0.0653,True,direct,False,False,False,0,0,,,1,258,17.133333333333333,1.2161967285304514,0.2701794725223462,0.4046142101287842,0.5852563381195068,0.18064212799072266,-0.22612333297729492,0.21653854846954346,0.4426618814468384,0.03208713233470917,0.4130174219608307,0.3809302896261215
episode_000300,2,2,True,True,False,blue_tray,91306,1,2,1,1,blue_cube_0,,False,0.0,True,-22.3437,-22.3437,1.0,2.2826,True,preplaced;direct,False,False,False,0,0,,,2,309,20.53333333333333,1.1588504546789884,0.1470960479872154,0.4184422492980957,0.5658762454986572,0.14743399620056152,-0.17145025730133057,0.22078394889831543,0.392234206199646,0.03339434415102005,0.26169827580451965,0.2283039316534996
episode_000301,2,2,True,True,False,blue_tray,91307,0,2,0,2,,19,False,0.0,True,,,,0.0673,True,direct;direct,False,False,False,0,0,,,2,564,37.53333333333333,2.3237553151891177,0.579103961005394,0.4064522981643677,0.5628763437271118,0.15642404556274414,-0.27371859550476074,0.2598252296447754,0.5335438251495361,0.033152930438518524,0.4178484380245209,0.38469550758600235
episode_000302,2,2,True,True,False,blue_tray,91308,0,2,0,2,,41,False,0.0,True,,,,0.064,True,direct;direct,False,False,False,0,0,,,2,628,41.8,2.1483810081676573,0.3233845074987991,0.3662557601928711,0.5668067932128906,0.20055103302001953,-0.17045974731445312,0.15983176231384277,0.3302915096282959,0.03260271996259689,0.5134956240653992,0.4808929041028023
episode_000303,2,2,True,True,False,blue_tray,91309,0,2,0,2,,59,False,0.0,True,,,,0.1044,True,direct;direct,False,False,False,0,0,,,2,564,37.53333333333333,2.102089598292114,0.3686761783014817,0.370450496673584,0.675095796585083,0.304645299911499,-0.1234586238861084,0.23627090454101562,0.359729528427124,0.033190056681632996,0.5384397506713867,0.5052496939897537
episode_000304,2,2,True,True,False,blue_tray,91310,0,2,0,2,,62,False,0.0,True,,,,0.1057,True,direct;direct,False,False,False,0,0,,,2,508,33.8,1.9677674350445342,0.34623596684261226,0.3649179935455322,0.6307380199432373,0.2658200263977051,-0.17646396160125732,0.11008882522583008,0.2865527868270874,0.03268434852361679,0.5095033049583435,0.4768189564347267
episode_000305,2,2,True,True,False,blue_tray,91311,0,2,0,2,,14,False,0.0,True,,,,0.0238,True,direct;recovery,True,False,False,0,0,,,2,535,35.6,2.01929035081048,0.3079325405571364,0.4285261631011963,0.5877056121826172,0.1591794490814209,-0.0724189281463623,0.25630152225494385,0.32872045040130615,0.03307156264781952,0.445736825466156,0.4126652628183365
episode_000306,2,2,True,True,False,blue_tray,91312,0,2,0,2,,64,False,0.0,True,,,,0.1512,True,direct;direct,False,False,False,0,0,,,2,560,37.266666666666666,2.192327184231155,0.38442176705913567,0.45409679412841797,0.6662685871124268,0.2121717929840088,-0.16878831386566162,0.2870628833770752,0.4558511972427368,0.03266090154647827,0.44284865260124207,0.4101877510547638
episode_000307,2,2,True,True,False,blue_tray,91313,1,2,1,1,blue_cube_1,,False,0.0,True,-8.3768,-8.3768,1.0,2.2318,True,direct;preplaced,False,False,False,0,0,,,2,272,18.066666666666666,0.8239101698262132,0.11772688213846573,0.4646763801574707,0.6521129608154297,0.18743658065795898,-0.09628057479858398,0.08888733386993408,0.18516790866851807,0.03313829004764557,0.2473716288805008,0.21423333883285522
episode_000308,2,2,True,True,False,blue_tray,91314,1,2,1,1,blue_cube_0,,False,0.0,True,19.6155,19.6155,1.0,2.4921,True,preplaced;direct,False,False,False,0,0,,,2,268,17.8,1.0739175478621916,0.14943112020566363,0.43244361877441406,0.5662333965301514,0.1337897777557373,-0.16990888118743896,0.197174072265625,0.36708295345306396,0.03329041600227356,0.2373170554637909,0.20402663946151733
episode_000309,2,2,True,True,False,blue_tray,91315,0,2,0,2,,58,False,0.0,True,,,,0.0645,True,direct;recovery,True,True,True,0,0,,,2,572,38.06666666666666,2.156480839792269,0.4869710561023002,0.4494575262069702,0.6697359085083008,0.22027838230133057,-0.19678449630737305,0.26014113426208496,0.456925630569458,0.03305602818727493,0.4231366813182831,0.39008065313100815
episode_000310,2,2,True,True,False,blue_tray,91316,0,2,0,2,,21,False,0.0,True,,,,0.0636,True,direct;direct,False,False,False,0,0,,,2,468,31.133333333333333,1.9702381257534487,0.1686846860274862,0.4559398889541626,0.6447882652282715,0.1888483762741089,-0.171195387840271,0.1820535659790039,0.3532489538192749,0.03267291188240051,0.3390141725540161,0.3063412606716156
episode_000311,1,2,True,True,False,blue_tray,91317,0,1,0,1,,10,False,0.0,True,,,,0.0326,True,direct,False,False,False,0,0,,,1,231,15.333333333333334,0.91323760878808,0.2782700941033035,0.42520904541015625,0.5044617652893066,0.07925271987915039,-0.09724140167236328,0.19906413555145264,0.2963055372238159,0.03139761835336685,0.36119532585144043,0.3297977074980736
episode_000312,2,2,True,True,False,blue_tray,91318,1,2,1,1,blue_cube_0,,False,0.0,True,-10.6994,-10.6994,1.0,2.2453,True,preplaced;direct,False,False,False,0,0,,,2,261,17.333333333333332,0.9246877432951967,0.08955451170994393,0.46222496032714844,0.5557115077972412,0.09348654747009277,-0.17667913436889648,0.09962248802185059,0.27630162239074707,0.03014228492975235,0.23755477368831635,0.207412488758564
episode_000313,2,2,True,True,False,blue_tray,91319,1,2,1,1,blue_cube_1,,False,0.0,True,33.9645,33.9645,1.0,2.4816,True,direct;preplaced,False,False,False,0,0,,,2,314,20.866666666666667,1.1342203875395422,0.11039894981714173,0.3794146776199341,0.5628505945205688,0.18343591690063477,-0.09296965599060059,0.272621750831604,0.3655914068222046,0.03343747556209564,0.2370072603225708,0.20356978476047516
episode_000314,2,2,True,True,False,blue_tray,91320,0,2,0,2,,55,False,0.0,True,,,,0.0553,True,direct;direct,False,False,False,0,0,,,2,519,34.53333333333333,2.0731847262769985,0.276548101382468,0.3964449167251587,0.6584956645965576,0.2620507478713989,-0.22927212715148926,0.16207289695739746,0.3913450241088867,0.03262922912836075,0.44057905673980713,0.4079498276114464
episode_000315,2,2,True,True,False,blue_tray,91321,0,2,0,2,,32,False,0.0,True,,,,0.0454,True,direct;direct,False,False,False,1,1,,,2,795,52.93333333333333,2.6458352778436365,0.3984486727768812,0.4108083248138428,0.5761854648590088,0.16537714004516602,-0.11320829391479492,0.20022642612457275,0.3134347200393677,0.033427946269512177,0.4501047134399414,0.41667676717042923
episode_000316,2,2,True,True,False,blue_tray,91322,1,2,1,1,blue_cube_0,,False,0.0,True,-38.8154,-38.8154,1.0,2.0933,True,preplaced;recovery,True,True,True,0,0,,,2,206,13.666666666666666,0.8238296014858453,0.09418244835720152,0.4830501079559326,0.5718941688537598,0.08884406089782715,-0.17483651638031006,0.04600167274475098,0.22083818912506104,0.032599665224552155,0.2423834353685379,0.20978377014398575
episode_000317,1,2,True,True,False,blue_tray,91323,0,1,0,1,,23,False,0.0,True,,,,0.0662,True,direct,False,False,False,0,0,,,1,322,21.4,1.1443390376113451,0.5250093886505861,0.48626279830932617,0.5088143348693848,0.022551536560058594,-0.1958446502685547,0.2566424608230591,0.45248711109161377,0.03342107683420181,0.4609658718109131,0.4275447949767113
episode_000318,2,2,True,True,False,blue_tray,91324,0,2,0,2,,54,True,0.025253,True,,,,0.1544,True,direct;direct,False,False,False,0,0,,,2,540,35.93333333333333,1.9478005103035674,0.19727712298564315,0.43260085582733154,0.6205731630325317,0.1879723072052002,-0.3061259984970093,0.1603994369506836,0.46652543544769287,0.03323560953140259,0.3179396390914917,0.2847040295600891
episode_000319,1,2,True,True,False,blue_tray,91325,0,1,0,1,,39,False,0.0,True,,,,0.0651,True,recovery,True,True,True,0,0,,,1,287,19.066666666666666,1.0026677485489248,0.16051063967079482,0.4514281749725342,0.5850396156311035,0.13361144065856934,-0.16741347312927246,0.1418905258178711,0.30930399894714355,0.03340611606836319,0.31043800711631775,0.27703189104795456
